Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Daily Return,MA50,MA200
2021-07-29,649.789978,683.690002,648.799988,677.349976,677.349976,30394600,2021,2021-07,0.04694116810229576,635.28620116,647.313399485
2021-07-30,671.76001,697.530029,669.0,687.200012,687.200012,29656400,2021,2021-07,0.01454201867425775,637.76100096,648.516149575
2021-08-02,700.0,726.940002,698.400024,709.669983,709.669983,33615800,2021,2021-08,0.03269786176895462,640.21880004,649.7579995499999
2021-08-03,719.0,722.650024,701.01001,709.73999,709.73999,21620300,2021,2021-08,9.864726094810372e-05,642.79599974,651.0622994749999
2021-08-04,711.0,724.900024,708.929993,710.919983,710.919983,17002600,2021,2021-08,0.0016625708239998982,644.88559936,652.418549325
2021-08-05,716.0,720.950012,711.409973,714.630005,714.630005,12919600,2021,2021-08,0.005218621066669371,647.0843994200001,653.837549415
2021-08-06,711.900024,716.330017,697.630005,699.099976,699.099976,15623000,2021,2021-08,-0.021731565833147504,648.6837988399999,655.223349285
2021-08-09,710.169983,719.030029,705.130005,713.76001,713.76001,14715300,2021,2021-08,0.020969867691713384,650.3419995200001,656.67894926
2021-08-10,713.98999,716.590027,701.880005,709.98999,709.98999,13432300,2021,2021-08,-0.005281915415799143,652.0373999,658.099949165
2021-08-11,712.710022,715.179993,704.210022,707.820007,707.820007,9800600,2021,2021-08,-0.003056357174838431,653.71579956,659.5358991749999
2021-08-12,706.340027,722.799988,699.400024,722.25,722.25,17459100,2021,2021-08,0.020386528859447584,656.05839966,661.04574918
2021-08-13,723.710022,729.900024,714.340027,717.169983,717.169983,16731500,2021,2021-08,-0.0070335991692627164,658.94499878,662.50819913
2021-08-16,705.070007,709.5,676.400024,686.169983,686.169983,22677400,2021,2021-08,-0.043225456634874204,660.68739868,663.9089491
2021-08-17,672.659973,674.580017,648.840027,665.710022,665.710022,23721300,2021,2021-08,-0.02981762756590889,661.89899902,665.1833492750001
2021-08-18,669.75,695.77002,669.349976,688.98999,688.98999,20349400,2021,2021-08,0.03497013298682172,663.60699828,666.68809918
2021-08-19,678.210022,686.549988,667.590027,673.469971,673.469971,14313500,2021,2021-08,-0.022525753966324058,665.1007971199999,668.052898985
2021-08-20,682.849976,692.130005,673.700012,680.26001,680.26001,14841900,2021,2021-08,0.010082170389746903,666.50359742,669.334699065
2021-08-23,685.440002,712.130005,680.75,706.299988,706.299988,20264900,2021,2021-08,0.03827944847147502,668.4317968800001,670.7612989500001
2021-08-24,710.679993,715.219971,702.640015,708.48999,708.48999,13083100,2021,2021-08,0.0031006683239531707,670.24779664,672.11329892
2021-08-25,707.030029,716.969971,704.0,711.200012,711.200012,12645600,2021,2021-08,0.003825067450847097,672.48459718,673.5195489199999
2021-08-26,708.309998,715.400024,697.619995,701.159973,701.159973,13214300,2021,2021-08,-0.014117039975527934,674.41039674,674.9190487349999
2021-08-27,705.0,715.0,702.099976,711.919983,711.919983,13833800,2021,2021-08,0.01534601291337534,676.3167968799999,676.426848725
2021-08-30,714.719971,731.0,712.72998,730.909973,730.909973,18604200,2021,2021-08,0.026674332022507796,678.46879638,677.995748565
